series_id,group_id,surface
151,151,0,concrete
152,152,0,concrete
153,153,16,hard_tiles_large_space
154,154,6,soft_pvc
155,155,13,fine_concrete
156,156,17,soft_tiles
157,157,0,concrete
158,158,6,soft_pvc
159,159,22,soft_tiles
160,160,28,tiled
161,161,13,fine_concrete
162,162,12,concrete
163,163,34,soft_pvc
164,164,14,wood
165,165,33,hard_tiles_large_space
166,166,26,soft_pvc
167,167,13,fine_concrete
168,168,35,fine_concrete
169,169,13,fine_concrete
170,170,11,tiled
171,171,1,tiled
172,172,14,wood
173,173,20,concrete
174,174,8,tiled
175,175,16,hard_tiles_large_space
176,176,7,carpet
177,177,10,wood
178,178,6,soft_pvc
179,179,16,hard_tiles_large_space
180,180,9,soft_tiles
181,181,1,tiled
182,182,20,concrete
183,183,16,hard_tiles_large_space
184,184,19,soft_pvc
185,185,33,hard_tiles_large_space
186,186,18,soft_pvc
187,187,11,tiled
188,188,7,carpet
189,189,27,hard_tiles
190,190,35,fine_concrete
191,191,21,soft_tiles
192,192,10,wood
193,193,29,soft_pvc
194,194,35,fine_concrete
195,195,5,concrete
196,196,22,soft_tiles
197,197,10,wood
198,198,0,concrete
199,199,12,concrete
200,200,28,tiled
201,201,29,soft_pvc
202,202,5,concrete
203,203,18,soft_pvc
204,204,14,wood
205,205,26,soft_pvc
206,206,7,carpet
207,207,2,wood
208,208,12,concrete
209,209,16,hard_tiles_large_space
210,210,21,soft_tiles
211,211,19,soft_pvc
212,212,12,concrete
213,213,25,carpet
214,214,34,soft_pvc
215,215,2,wood
216,216,2,wood
217,217,23,wood
218,218,21,soft_tiles
219,219,7,carpet
220,220,28,tiled
221,221,9,soft_tiles
222,222,3,soft_pvc
223,223,3,soft_pvc
224,224,33,hard_tiles_large_space
225,225,11,tiled
226,226,10,wood
227,227,3,soft_pvc
228,228,19,soft_pvc
229,229,10,wood
230,230,31,concrete
231,231,35,fine_concrete
232,232,26,soft_pvc
233,233,20,concrete
234,234,11,tiled
235,235,0,concrete
236,236,15,soft_tiles
237,237,18,soft_pvc
238,238,13,fine_concrete
239,239,1,tiled
240,240,4,soft_tiles
241,241,3,soft_pvc
242,242,20,concrete
243,243,20,concrete
244,244,25,carpet
245,245,17,soft_tiles
246,246,18,soft_pvc
247,247,29,soft_pvc
248,248,15,soft_tiles
249,249,6,soft_pvc
250,250,25,carpet
251,251,2,wood
252,252,29,soft_pvc
253,253,9,soft_tiles
254,254,1,tiled
255,255,23,wood
256,256,2,wood
257,257,27,hard_tiles
258,258,4,soft_tiles
259,259,15,soft_tiles
260,260,34,soft_pvc
261,261,12,concrete
262,262,34,soft_pvc
263,263,10,wood
264,264,3,soft_pvc
265,265,10,wood
266,266,19,soft_pvc
267,267,26,soft_pvc
268,268,20,concrete
269,269,26,soft_pvc
270,270,10,wood
271,271,8,tiled
272,272,21,soft_tiles
273,273,16,hard_tiles_large_space
274,274,13,fine_concrete
275,275,15,soft_tiles
276,276,11,tiled
277,277,12,concrete
278,278,15,soft_tiles
279,279,6,soft_pvc
280,280,35,fine_concrete
281,281,20,concrete
282,282,34,soft_pvc
283,283,19,soft_pvc
284,284,28,tiled
285,285,33,hard_tiles_large_space
286,286,19,soft_pvc
287,287,18,soft_pvc
288,288,29,soft_pvc
289,289,18,soft_pvc
290,290,29,soft_pvc
291,291,4,soft_tiles
292,292,21,soft_tiles
293,293,9,soft_tiles
294,294,29,soft_pvc
295,295,29,soft_pvc
296,296,33,hard_tiles_large_space
297,297,23,wood
298,298,4,soft_tiles
299,299,32,concrete
300,300,33,hard_tiles_large_space
301,301,26,soft_pvc
302,302,19,soft_pvc
303,303,1,tiled
304,304,31,concrete
305,305,8,tiled
306,306,32,concrete
307,307,4,soft_tiles
308,308,7,carpet
309,309,8,tiled
310,310,5,concrete
311,311,33,hard_tiles_large_space
312,312,7,carpet
313,313,11,tiled
314,314,21,soft_tiles
315,315,32,concrete
316,316,21,soft_tiles
317,317,28,tiled
318,318,7,carpet
319,319,32,concrete
320,320,6,soft_pvc
321,321,4,soft_tiles
322,322,23,wood
323,323,20,concrete
324,324,1,tiled
325,325,26,soft_pvc
326,326,6,soft_pvc
327,327,19,soft_pvc
328,328,14,wood
329,329,19,soft_pvc
330,330,20,concrete
331,331,34,soft_pvc
332,332,2,wood
333,333,0,concrete
334,334,15,soft_tiles
335,335,12,concrete
336,336,23,wood
337,337,19,soft_pvc
338,338,28,tiled
339,339,22,soft_tiles
340,340,6,soft_pvc
341,341,23,wood
342,342,20,concrete
343,343,16,hard_tiles_large_space
344,344,24,wood
345,345,0,concrete
346,346,3,soft_pvc
347,347,8,tiled
348,348,4,soft_tiles
349,349,20,concrete
350,350,33,hard_tiles_large_space
351,351,21,soft_tiles
352,352,35,fine_concrete
353,353,12,concrete
354,354,26,soft_pvc
355,355,14,wood
356,356,0,concrete
357,357,21,soft_tiles
358,358,35,fine_concrete
359,359,10,wood
360,360,0,concrete
361,361,3,soft_pvc
362,362,32,concrete
363,363,3,soft_pvc
364,364,26,soft_pvc
365,365,21,soft_tiles
366,366,1,tiled
367,367,19,soft_pvc
368,368,28,tiled
369,369,23,wood
370,370,9,soft_tiles
371,371,9,soft_tiles
372,372,9,soft_tiles
373,373,31,concrete
374,374,29,soft_pvc
375,375,21,soft_tiles
376,376,33,hard_tiles_large_space
377,377,15,soft_tiles
378,378,8,tiled
379,379,22,soft_tiles
380,380,15,soft_tiles
381,381,26,soft_pvc
382,382,28,tiled
383,383,26,soft_pvc
384,384,16,hard_tiles_large_space
385,385,21,soft_tiles
386,386,1,tiled
387,387,31,concrete
388,388,29,soft_pvc
389,389,25,carpet
390,390,26,soft_pvc
391,391,23,wood
392,392,25,carpet
393,393,35,fine_concrete
394,394,35,fine_concrete
395,395,25,carpet
396,396,20,concrete
397,397,21,soft_tiles
398,398,16,hard_tiles_large_space
399,399,15,soft_tiles
400,400,0,concrete
401,401,12,concrete
402,402,18,soft_pvc
403,403,32,concrete
404,404,12,concrete
405,405,21,soft_tiles
406,406,4,soft_tiles
407,407,29,soft_pvc
408,408,20,concrete
409,409,3,soft_pvc
410,410,11,tiled
411,411,11,tiled
412,412,34,soft_pvc
413,413,18,soft_pvc
414,414,31,concrete
415,415,13,fine_concrete
416,416,34,soft_pvc
417,417,10,wood
418,418,23,wood
419,419,31,concrete
420,420,3,soft_pvc
421,421,21,soft_tiles
422,422,11,tiled
423,423,6,soft_pvc
424,424,18,soft_pvc
425,425,22,soft_tiles
426,426,16,hard_tiles_large_space
427,427,12,concrete
428,428,0,concrete
429,429,1,tiled
430,430,6,soft_pvc
431,431,1,tiled
432,432,33,hard_tiles_large_space
433,433,34,soft_pvc
434,434,18,soft_pvc
435,435,26,soft_pvc
436,436,14,wood
437,437,34,soft_pvc
438,438,20,concrete
439,439,15,soft_tiles
440,440,9,soft_tiles
441,441,35,fine_concrete
442,442,23,wood
443,443,16,hard_tiles_large_space
444,444,3,soft_pvc
445,445,9,soft_tiles
446,446,10,wood
447,447,23,wood
448,448,22,soft_tiles
449,449,12,concrete
450,450,1,tiled
451,451,34,soft_pvc
452,452,9,soft_tiles
453,453,3,soft_pvc
454,454,9,soft_tiles
455,455,21,soft_tiles
456,456,19,soft_pvc
457,457,16,hard_tiles_large_space
458,458,21,soft_tiles
459,459,27,hard_tiles
460,460,15,soft_tiles
461,461,10,wood
462,462,16,hard_tiles_large_space
463,463,22,soft_tiles
464,464,34,soft_pvc
465,465,26,soft_pvc
466,466,20,concrete
467,467,34,soft_pvc
468,468,9,soft_tiles
469,469,31,concrete
470,470,32,concrete
471,471,31,concrete
472,472,6,soft_pvc
473,473,10,wood
474,474,22,soft_tiles
475,475,13,fine_concrete
476,476,11,tiled
477,477,29,soft_pvc
478,478,22,soft_tiles
479,479,12,concrete
480,480,4,soft_tiles
481,481,11,tiled
482,482,19,soft_pvc
483,483,23,wood
484,484,1,tiled
485,485,4,soft_tiles
486,486,13,fine_concrete
487,487,20,concrete
488,488,8,tiled
489,489,35,fine_concrete
490,490,34,soft_pvc
491,491,34,soft_pvc
492,492,32,concrete
493,493,35,fine_concrete
494,494,20,concrete
495,495,20,concrete
496,496,8,tiled
497,497,22,soft_tiles
498,498,32,concrete
499,499,7,carpet
500,500,34,soft_pvc
501,501,21,soft_tiles
502,502,17,soft_tiles
503,503,19,soft_pvc
504,504,9,soft_tiles
505,505,22,soft_tiles
506,506,25,carpet
507,507,35,fine_concrete
508,508,4,soft_tiles
509,509,3,soft_pvc
510,510,12,concrete
511,511,22,soft_tiles
512,512,0,concrete
513,513,29,soft_pvc
514,514,11,tiled
515,515,23,wood
516,516,35,fine_concrete
517,517,31,concrete
518,518,6,soft_pvc
519,519,13,fine_concrete
520,520,7,carpet
521,521,35,fine_concrete
522,522,23,wood
523,523,31,concrete
524,524,31,concrete
525,525,21,soft_tiles
526,526,14,wood
527,527,27,hard_tiles
528,528,7,carpet
529,529,11,tiled
530,530,14,wood
531,531,14,wood
532,532,10,wood
533,533,16,hard_tiles_large_space
534,534,29,soft_pvc
535,535,0,concrete
536,536,14,wood
537,537,5,concrete
538,538,10,wood
539,539,6,soft_pvc
540,540,33,hard_tiles_large_space
541,541,4,soft_tiles
542,542,26,soft_pvc
543,543,15,soft_tiles
544,544,6,soft_pvc
545,545,3,soft_pvc
546,546,10,wood
547,547,33,hard_tiles_large_space
548,548,16,hard_tiles_large_space
549,549,10,wood
550,550,15,soft_tiles
551,551,2,wood
552,552,15,soft_tiles
553,553,6,soft_pvc
554,554,18,soft_pvc
555,555,16,hard_tiles_large_space
556,556,26,soft_pvc
557,557,11,tiled
558,558,33,hard_tiles_large_space
559,559,1,tiled
560,560,33,hard_tiles_large_space
561,561,28,tiled
562,562,12,concrete
563,563,35,fine_concrete
564,564,31,concrete
565,565,29,soft_pvc
566,566,27,hard_tiles
567,567,3,soft_pvc
568,568,4,soft_tiles
569,569,10,wood
570,570,12,concrete
571,571,17,soft_tiles
572,572,7,carpet
573,573,14,wood
574,574,19,soft_pvc
575,575,32,concrete
576,576,20,concrete
577,577,9,soft_tiles
578,578,12,concrete
579,579,14,wood
580,580,7,carpet
581,581,9,soft_tiles
582,582,22,soft_tiles
583,583,8,tiled
584,584,2,wood
585,585,31,concrete
586,586,12,concrete
587,587,27,hard_tiles
588,588,14,wood
589,589,13,fine_concrete
590,590,35,fine_concrete
591,591,16,hard_tiles_large_space
592,592,22,soft_tiles
593,593,18,soft_pvc
594,594,16,hard_tiles_large_space
595,595,22,soft_tiles
596,596,8,tiled
597,597,4,soft_tiles
598,598,16,hard_tiles_large_space
599,599,20,concrete
600,600,13,fine_concrete
601,601,35,fine_concrete
602,602,32,concrete
603,603,25,carpet
604,604,19,soft_pvc
605,605,11,tiled
606,606,14,wood
607,607,1,tiled
608,608,31,concrete
609,609,6,soft_pvc
610,610,26,soft_pvc
611,611,34,soft_pvc
612,612,26,soft_pvc
613,613,7,carpet
614,614,2,wood
615,615,22,soft_tiles
616,616,33,hard_tiles_large_space
617,617,32,concrete
618,618,11,tiled
619,619,31,concrete
620,620,9,soft_tiles
621,621,1,tiled
622,622,23,wood
623,623,20,concrete
624,624,24,wood
625,625,13,fine_concrete
626,626,11,tiled
627,627,9,soft_tiles
628,628,2,wood
629,629,19,soft_pvc
630,630,12,concrete
631,631,29,soft_pvc
632,632,29,soft_pvc
633,633,7,carpet
634,634,15,soft_tiles
635,635,3,soft_pvc
636,636,1,tiled
637,637,4,soft_tiles
638,638,20,concrete
639,639,18,soft_pvc
640,640,26,soft_pvc
641,641,13,fine_concrete
642,642,18,soft_pvc
643,643,12,concrete
644,644,9,soft_tiles
645,645,33,hard_tiles_large_space
646,646,34,soft_pvc
647,647,32,concrete
648,648,29,soft_pvc
649,649,3,soft_pvc
650,650,4,soft_tiles
651,651,33,hard_tiles_large_space
652,652,8,tiled
653,653,12,concrete
654,654,32,concrete
655,655,35,fine_concrete
656,656,28,tiled
657,657,34,soft_pvc
658,658,16,hard_tiles_large_space
659,659,15,soft_tiles
660,660,20,concrete
661,661,25,carpet
662,662,15,soft_tiles
663,663,9,soft_tiles
664,664,25,carpet
665,665,25,carpet
666,666,33,hard_tiles_large_space
667,667,11,tiled
668,668,34,soft_pvc
669,669,15,soft_tiles
670,670,25,carpet
671,671,10,wood
672,672,19,soft_pvc
673,673,7,carpet
674,674,10,wood
675,675,35,fine_concrete
676,676,19,soft_pvc
677,677,22,soft_tiles
678,678,26,soft_pvc
679,679,32,concrete
680,680,32,concrete
681,681,8,tiled
682,682,21,soft_tiles
683,683,3,soft_pvc
684,684,6,soft_pvc
685,685,26,soft_pvc
686,686,20,concrete
687,687,34,soft_pvc
688,688,28,tiled
689,689,11,tiled
690,690,35,fine_concrete
691,691,21,soft_tiles
692,692,11,tiled
693,693,3,soft_pvc
694,694,12,concrete
695,695,10,wood
696,696,28,tiled
697,697,35,fine_concrete
698,698,18,soft_pvc
699,699,3,soft_pvc
700,700,6,soft_pvc
701,701,29,soft_pvc
702,702,22,soft_tiles
703,703,32,concrete
704,704,25,carpet
705,705,35,fine_concrete
706,706,22,soft_tiles
707,707,32,concrete
708,708,10,wood
709,709,25,carpet
710,710,26,soft_pvc
711,711,18,soft_pvc
712,712,26,soft_pvc
713,713,25,carpet
714,714,34,soft_pvc
715,715,22,soft_tiles
716,716,35,fine_concrete
717,717,8,tiled
718,718,25,carpet
719,719,26,soft_pvc
720,720,21,soft_tiles
721,721,7,carpet
722,722,0,concrete
723,723,33,hard_tiles_large_space
724,724,14,wood
725,725,25,carpet
726,726,10,wood
727,727,14,wood
728,728,34,soft_pvc
729,729,16,hard_tiles_large_space
730,730,32,concrete
731,731,4,soft_tiles
732,732,23,wood
733,733,9,soft_tiles
734,734,31,concrete
735,735,14,wood
736,736,10,wood
737,737,35,fine_concrete
738,738,18,soft_pvc
739,739,31,concrete
740,740,4,soft_tiles
741,741,35,fine_concrete
742,742,15,soft_tiles
743,743,10,wood
744,744,12,concrete
745,745,27,hard_tiles
746,746,6,soft_pvc
747,747,11,tiled
748,748,0,concrete
749,749,9,soft_tiles
750,750,35,fine_concrete
751,751,34,soft_pvc
752,752,13,fine_concrete
753,753,33,hard_tiles_large_space
754,754,23,wood
755,755,19,soft_pvc
756,756,15,soft_tiles
757,757,9,soft_tiles
758,758,20,concrete
759,759,9,soft_tiles
760,760,4,soft_tiles
761,761,13,fine_concrete
762,762,28,tiled
763,763,4,soft_tiles
764,764,0,concrete
765,765,0,concrete
766,766,1,tiled
767,767,21,soft_tiles
768,768,19,soft_pvc
769,769,10,wood
770,770,2,wood
771,771,20,concrete
772,772,0,concrete
773,773,4,soft_tiles
774,774,10,wood
775,775,34,soft_pvc
776,776,4,soft_tiles
777,777,12,concrete
778,778,35,fine_concrete
779,779,28,tiled
780,780,14,wood
781,781,3,soft_pvc
782,782,29,soft_pvc
783,783,23,wood
784,784,19,soft_pvc
785,785,16,hard_tiles_large_space
786,786,11,tiled
787,787,16,hard_tiles_large_space
788,788,18,soft_pvc
789,789,8,tiled
790,790,35,fine_concrete
791,791,10,wood
792,792,20,concrete
793,793,21,soft_tiles
794,794,18,soft_pvc
795,795,35,fine_concrete
796,796,7,carpet
797,797,33,hard_tiles_large_space
798,798,27,hard_tiles
799,799,6,soft_pvc
800,800,29,soft_pvc
801,801,31,concrete
802,802,7,carpet
803,803,22,soft_tiles
804,804,27,hard_tiles
805,805,17,soft_tiles
806,806,11,tiled
807,807,33,hard_tiles_large_space
808,808,18,soft_pvc
809,809,29,soft_pvc
810,810,31,concrete
811,811,11,tiled
812,812,14,wood
813,813,1,tiled
814,814,13,fine_concrete
815,815,28,tiled
816,816,2,wood
817,817,32,concrete
818,818,19,soft_pvc
819,819,21,soft_tiles
820,820,1,tiled
821,821,14,wood
822,822,22,soft_tiles
823,823,13,fine_concrete
824,824,25,carpet
825,825,3,soft_pvc
826,826,27,hard_tiles
827,827,3,soft_pvc
828,828,32,concrete
829,829,23,wood
830,830,21,soft_tiles
831,831,29,soft_pvc
832,832,4,soft_tiles
833,833,28,tiled
834,834,31,concrete
835,835,10,wood
836,836,13,fine_concrete
837,837,1,tiled
838,838,15,soft_tiles
839,839,0,concrete
840,840,13,fine_concrete
841,841,18,soft_pvc
842,842,6,soft_pvc
843,843,33,hard_tiles_large_space
844,844,4,soft_tiles
845,845,33,hard_tiles_large_space
846,846,0,concrete
847,847,8,tiled
848,848,2,wood
849,849,9,soft_tiles
850,850,19,soft_pvc
851,851,0,concrete
852,852,3,soft_pvc
853,853,16,hard_tiles_large_space
854,854,20,concrete
855,855,29,soft_pvc
856,856,8,tiled
857,857,14,wood
858,858,34,soft_pvc
859,859,33,hard_tiles_large_space
860,860,26,soft_pvc
861,861,12,concrete
862,862,12,concrete
863,863,7,carpet
864,864,22,soft_tiles
865,865,32,concrete
866,866,13,fine_concrete
867,867,14,wood
868,868,25,carpet
869,869,22,soft_tiles
870,870,0,concrete
871,871,3,soft_pvc
872,872,8,tiled
873,873,19,soft_pvc
874,874,15,soft_tiles
875,875,32,concrete
876,876,18,soft_pvc
877,877,10,wood
878,878,10,wood
879,879,6,soft_pvc
880,880,16,hard_tiles_large_space
881,881,19,soft_pvc
882,882,31,concrete
883,883,34,soft_pvc
884,884,21,soft_tiles
885,885,32,concrete
886,886,33,hard_tiles_large_space
887,887,22,soft_tiles
888,888,9,soft_tiles
889,889,25,carpet
890,890,8,tiled
891,891,34,soft_pvc
892,892,22,soft_tiles
893,893,12,concrete
894,894,21,soft_tiles
895,895,1,tiled
896,896,34,soft_pvc
897,897,31,concrete
898,898,23,wood
899,899,33,hard_tiles_large_space
900,900,33,hard_tiles_large_space
901,901,8,tiled
902,902,0,concrete
903,903,23,wood
904,904,18,soft_pvc
905,905,34,soft_pvc
906,906,10,wood
907,907,1,tiled
908,908,20,concrete
909,909,26,soft_pvc
910,910,4,soft_tiles
911,911,10,wood
912,912,15,soft_tiles
913,913,22,soft_tiles
914,914,34,soft_pvc
915,915,7,carpet
916,916,6,soft_pvc
917,917,33,hard_tiles_large_space
918,918,7,carpet
919,919,28,tiled
920,920,17,soft_tiles
921,921,20,concrete
922,922,6,soft_pvc
923,923,0,concrete
924,924,31,concrete
925,925,19,soft_pvc
926,926,32,concrete
927,927,10,wood
928,928,11,tiled
929,929,23,wood
930,930,35,fine_concrete
931,931,29,soft_pvc
932,932,6,soft_pvc
933,933,0,concrete
934,934,13,fine_concrete
935,935,7,carpet
936,936,15,soft_tiles
937,937,20,concrete
938,938,32,concrete
939,939,18,soft_pvc
940,940,21,soft_tiles
941,941,34,soft_pvc
942,942,8,tiled
943,943,4,soft_tiles
944,944,11,tiled
945,945,32,concrete
946,946,13,fine_concrete
947,947,6,soft_pvc
948,948,19,soft_pvc
949,949,25,carpet
950,950,26,soft_pvc
951,951,19,soft_pvc
952,952,19,soft_pvc
953,953,6,soft_pvc
954,954,25,carpet
955,955,18,soft_pvc
956,956,10,wood
957,957,14,wood
958,958,13,fine_concrete
959,959,29,soft_pvc
960,960,18,soft_pvc
961,961,8,tiled
962,962,19,soft_pvc
963,963,29,soft_pvc
964,964,26,soft_pvc
965,965,23,wood
966,966,29,soft_pvc
967,967,31,concrete
968,968,31,concrete
969,969,7,carpet
970,970,26,soft_pvc
971,971,8,tiled
972,972,5,concrete
973,973,3,soft_pvc
974,974,14,wood
975,975,23,wood
976,976,4,soft_tiles
977,977,31,concrete
978,978,15,soft_tiles
979,979,25,carpet
980,980,3,soft_pvc
981,981,10,wood
982,982,14,wood
983,983,26,soft_pvc
984,984,8,tiled
985,985,35,fine_concrete
986,986,19,soft_pvc
987,987,32,concrete
988,988,32,concrete
989,989,9,soft_tiles
990,990,18,soft_pvc
991,991,25,carpet
992,992,26,soft_pvc
993,993,35,fine_concrete
994,994,14,wood
995,995,11,tiled
996,996,13,fine_concrete
997,997,9,soft_tiles
998,998,8,tiled
999,999,15,soft_tiles
1000,1000,28,tiled
1001,1001,16,hard_tiles_large_space
1002,1002,15,soft_tiles
1003,1003,32,concrete
1004,1004,8,tiled
1005,1005,35,fine_concrete
1006,1006,32,concrete
1007,1007,0,concrete
1008,1008,13,fine_concrete
1009,1009,21,soft_tiles
1010,1010,31,concrete
1011,1011,7,carpet
1012,1012,16,hard_tiles_large_space
1013,1013,10,wood
1014,1014,35,fine_concrete
1015,1015,9,soft_tiles
1016,1016,20,concrete
1017,1017,14,wood
1018,1018,12,concrete
1019,1019,25,carpet
1020,1020,6,soft_pvc
1021,1021,29,soft_pvc
1022,1022,9,soft_tiles
1023,1023,31,concrete
1024,1024,29,soft_pvc
1025,1025,20,concrete
1026,1026,11,tiled
1027,1027,23,wood
1028,1028,4,soft_tiles
1029,1029,18,soft_pvc
1030,1030,20,concrete
1031,1031,10,wood
1032,1032,14,wood
1033,1033,17,soft_tiles
1034,1034,8,tiled
1035,1035,6,soft_pvc
1036,1036,19,soft_pvc
1037,1037,33,hard_tiles_large_space
1038,1038,6,soft_pvc
1039,1039,29,soft_pvc
1040,1040,20,concrete
1041,1041,0,concrete
1042,1042,29,soft_pvc
1043,1043,23,wood
1044,1044,33,hard_tiles_large_space
1045,1045,13,fine_concrete
1046,1046,14,wood
1047,1047,0,concrete
1048,1048,16,hard_tiles_large_space
1049,1049,5,concrete
1050,1050,13,fine_concrete
1051,1051,15,soft_tiles
1052,1052,13,fine_concrete
1053,1053,10,wood
1054,1054,6,soft_pvc
1055,1055,7,carpet
1056,1056,33,hard_tiles_large_space
1057,1057,7,carpet
1058,1058,16,hard_tiles_large_space
1059,1059,11,tiled
1060,1060,18,soft_pvc
1061,1061,12,concrete
1062,1062,3,soft_pvc
1063,1063,21,soft_tiles
1064,1064,33,hard_tiles_large_space
1065,1065,28,tiled
1066,1066,19,soft_pvc
1067,1067,14,wood
1068,1068,7,carpet
1069,1069,18,soft_pvc
1070,1070,32,concrete
1071,1071,22,soft_tiles
1072,1072,5,concrete
1073,1073,29,soft_pvc
1074,1074,20,concrete
1075,1075,12,concrete
1076,1076,32,concrete
1077,1077,34,soft_pvc
1078,1078,3,soft_pvc
1079,1079,12,concrete
1080,1080,18,soft_pvc
1081,1081,19,soft_pvc
1082,1082,2,wood
1083,1083,12,concrete
1084,1084,9,soft_tiles
1085,1085,3,soft_pvc
1086,1086,25,carpet
1087,1087,26,soft_pvc
1088,1088,25,carpet
1089,1089,16,hard_tiles_large_space
1090,1090,0,concrete
1091,1091,7,carpet
1092,1092,14,wood
1093,1093,8,tiled
1094,1094,25,carpet
1095,1095,21,soft_tiles
1096,1096,8,tiled
1097,1097,32,concrete
1098,1098,12,concrete
1099,1099,10,wood
1100,1100,28,tiled
1101,1101,34,soft_pvc
1102,1102,34,soft_pvc
1103,1103,22,soft_tiles
1104,1104,18,soft_pvc
1105,1105,10,wood
1106,1106,15,soft_tiles
1107,1107,23,wood
1108,1108,28,tiled
1109,1109,19,soft_pvc
1110,1110,15,soft_tiles
1111,1111,18,soft_pvc
1112,1112,25,carpet
1113,1113,20,concrete
1114,1114,14,wood
1115,1115,1,tiled
1116,1116,31,concrete
1117,1117,10,wood
1118,1118,35,fine_concrete
1119,1119,25,carpet
1120,1120,4,soft_tiles
1121,1121,7,carpet
1122,1122,23,wood
1123,1123,13,fine_concrete
1124,1124,32,concrete
1125,1125,27,hard_tiles
1126,1126,22,soft_tiles
1127,1127,1,tiled
1128,1128,9,soft_tiles
1129,1129,31,concrete
1130,1130,18,soft_pvc
1131,1131,1,tiled
1132,1132,26,soft_pvc
1133,1133,28,tiled
1134,1134,31,concrete
1135,1135,19,soft_pvc
1136,1136,21,soft_tiles
1137,1137,31,concrete
1138,1138,16,hard_tiles_large_space
1139,1139,31,concrete
1140,1140,3,soft_pvc
1141,1141,12,concrete
1142,1142,3,soft_pvc
1143,1143,3,soft_pvc
1144,1144,15,soft_tiles
1145,1145,18,soft_pvc
1146,1146,4,soft_tiles
1147,1147,4,soft_tiles
1148,1148,26,soft_pvc
1149,1149,1,tiled
1150,1150,25,carpet
1151,1151,8,tiled
1152,1152,11,tiled
1153,1153,7,carpet
1154,1154,7,carpet
1155,1155,25,carpet
1156,1156,31,concrete
1157,1157,1,tiled
1158,1158,25,carpet
1159,1159,6,soft_pvc
